,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
123,Bachelor,Life Sciences,Female,Single,18,a0f59685-be81-4646-b985-143c2d35f1d8,10,0,0,0,1.0,Nebraska,No,Non-Travel,Research & Development,1,Laboratory Technician,1611,No,15,5,Very High,High,Very High,High
124,Master,Life Sciences,Male,Married,45,fdefa2d1-c50a-4f23-b3dd-c6b2adb5069e,19,0,2,9,4.0,Noruega,No,Travel_Frequently,Research & Development,2,Manufacturing Director,6434,No,17,1,Low,Very High,High,Very High
125,College,Marketing,Female,Married,47,74e4e47c-db6c-42e4-afdc-59d3ee131322,13,0,3,8,0.0,Arizona,No,Travel_Rarely,Sales,2,Sales Executive,4537,Yes,22,2,High,High,Very High,Low
126,Bachelor,Technical Degree,Male,Divorced,43,45cb8850-adae-441f-966b-70398b846300,8,0,0,8,5.0,Vermont,No,Travel_Rarely,Research & Development,1,Laboratory Technician,4876,No,12,0,Very High,Very High,Medium,High
127,Bachelor,Medical,Male,Single,28,735cbecc-d3e1-42d7-bce1-59c9820bb8a9,7,0,2,5,1.0,Italia,No,,Research & Development,1,Research Scientist,2144,No,14,3,High,High,High,High
128,Bachelor,Technical Degree,Male,Single,20,4b2b6d39-521a-4c0f-8b47-470f5e2fb8d5,2,0,0,1,1.0,Polonia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2973,No,19,2,Low,High,Low,Medium
129,College,Medical,Female,Married,31,e7d504fc-1fad-49fc-9fd8-ecb03d293775,8,0,11,13,1.0,Bélgica,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4306,No,12,5,Medium,High,Low,Medium
130,Master,Medical,Female,Married,33,486137d9-0264-4ca0-a6ce-c7f728dddb32,0,0,1,8,8.0,Connecticut,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3838,No,11,5,Low,Medium,Medium,Very High
131,Master,Medical,Female,Divorced,39,1b39dfd3-93d8-4bb9-8c7d-9a20c6626cc9,0,1,2,7,7.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2232,No,14,1,High,High,High,High
132,Master,Life Sciences,Female,Married,52,5fa1228e-549b-4d31-8dde-e50d42b649c2,10,1,2,9,8.0,Portugal,No,Travel_Rarely,Research & Development,2,Laboratory Technician,3149,No,20,3,Very High,High,High,Medium
133,Master,Life Sciences,Male,Single,41,62cfb072-d17d-47b7-adf1-b4f5115b39b7,0,0,1,22,1.0,Misisipi,No,Travel_Rarely,Sales,4,Manager,16015,No,19,2,Very High,High,Medium,Medium
134,Master,Life Sciences,Female,Married,37,6a075907-6103-4213-a1c5-3493fd6ab7dc,0,2,0,8,6.0,Suecia,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6447,No,12,2,Medium,High,Medium,Medium
135,Bachelor,Technical Degree,Female,Divorced,29,2848de55-a8a8-4b39-96fb-ff9b79b7f9e7,0,0,0,1,1.0,Alemania,No,,Research & Development,1,Research Scientist,2109,No,13,2,Very High,Medium,Low,High
136,Bachelor,Life Sciences,Male,Single,28,f6ebd797-a272-46f8-b010-4033327d3774,11,0,3,5,0.0,Vermont,No,Travel_Frequently,Sales,2,Sales Executive,4898,No,14,5,High,High,Low,Very High
137,College,Other,Male,Divorced,37,2b7aebd5-dee4-47c1-8570-98a2f00fe03a,9,4,0,19,2.0,Austria,No,Travel_Rarely,Human Resources,2,Human Resources,4071,No,13,4,High,High,Medium,High
138,Doctor,Human Resources,Male,Married,44,b02f0665-7a07-4edc-b77a-5ea9f6e22c5a,16,0,2,14,4.0,Connecticut,No,Travel_Frequently,Human Resources,2,Human Resources,5743,Yes,11,3,Low,High,Very High,High
139,Below College,Life Sciences,Male,Divorced,41,e97fcb51-1322-4491-9b82-6676bed0b1ea,5,0,6,12,3.0,Nueva Jersey,No,Travel_Rarely,Sales,3,Sales Executive,8189,Yes,13,2,High,High,High,High
140,College,Medical,Female,Married,40,3bac182e-c983-42ec-a702-ba873bc19b39,6,0,0,16,3.0,Dakota del Norte,No,Travel_Frequently,Research & Development,2,Research Scientist,4422,Yes,13,3,High,Medium,Very High,Very High
141,,Other,Male,Divorced,25,0e372073-6fbc-4811-86e4-005fc8843665,11,0,2,7,6.0,Misisipi,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3977,Yes,19,2,Very High,High,High,High
142,Bachelor,Medical,Male,Single,26,d2f4dded-bed2-4d5a-90f3-75e247f7bb82,13,2,0,7,1.0,Tennessee,No,Non-Travel,Research & Development,1,Laboratory Technician,2570,No,20,5,Very High,High,Very High,High
143,,Life Sciences,Male,Married,42,677424e0-c010-4289-b1aa-536c7ef2913c,22,2,5,21,0.0,Reino Unido,No,Non-Travel,Research & Development,4,Manager,17861,Yes,13,3,High,High,High,Very High
144,College,Life Sciences,Male,Divorced,36,49debf1d-b2ea-4881-a02f-265aa2ffe6b8,18,0,0,13,6.0,Carolina del Norte,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6842,No,20,3,Very High,Very High,Low,Low
145,College,Medical,Female,Divorced,47,47d15e2a-2663-410e-996f-df8f585f17af,14,0,1,20,5.0,España,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5070,No,13,2,Low,High,Very High,High
146,Master,Life Sciences,Male,Divorced,50,1ca23173-1171-4675-9f7e-820f3ad5210d,7,0,0,12,7.0,Austria,Yes,Travel_Frequently,Sales,2,Sales Executive,6728,No,12,3,Medium,High,,Very High
147,College,Life Sciences,Male,Single,48,356a8180-30da-46aa-93d1-2bcf6b68031d,15,0,0,23,9.0,Alemania,Yes,Travel_Rarely,Research & Development,3,Laboratory Technician,5381,Yes,13,2,Low,Medium,High,Very High
148,College,Marketing,Female,Married,35,531caf16-d38c-4f97-8b9b-cd11b8c01bef,4,4,2,16,4.0,Noruega,No,Non-Travel,Sales,3,Sales Executive,10377,Yes,11,6,High,Medium,Very High,Medium
149,,Medical,Female,Married,36,ca403973-0bbe-4e4d-8a37-4a7f98805a96,9,2,4,10,0.0,Arkansas,No,,Sales,3,Sales Executive,7644,No,19,2,Low,Medium,Very High,High
150,Bachelor,Medical,Male,Single,40,137eda99-1dae-4829-942a-4e0c7c7fd017,19,2,7,21,1.0,Austria,No,,Research & Development,5,Research Director,19626,No,14,2,High,Medium,High,Low
151,College,Medical,Female,Married,37,25ef0874-9d5d-40fe-b592-a7cb961a0179,18,0,0,15,5.0,Hungría,Yes,Travel_Rarely,Research & Development,2,Healthcare Representative,4777,No,15,2,Low,Low,Medium,Low
152,Master,Medical,Male,Married,53,9efdb6bb-911f-454f-b431-0664335c1806,16,1,1,21,3.0,Bélgica,No,Travel_Rarely,Research & Development,4,Research Director,17584,Yes,16,5,High,High,High,Very High
153,Bachelor,Life Sciences,Female,Single,45,bdf8223f-433b-4827-a504-ea5766d3877d,6,0,0,8,8.0,Portugal,No,Travel_Rarely,Sales,2,Sales Executive,4850,No,15,3,Very High,High,High,High
154,College,Life Sciences,Female,Single,32,c1410d1a-509b-4090-8171-6647595778b7,1,2,0,10,3.0,Rumania,No,Travel_Rarely,Research & Development,3,Research Director,11159,No,15,6,High,High,Very High,Very High
155,Bachelor,Life Sciences,Male,Married,38,d453684c-f2be-40cf-854e-4d03a4ff4ce8,2,1,2,19,7.0,Arizona,No,Travel_Frequently,Research & Development,2,Research Scientist,4735,No,15,4,Very High,High,Very High,Very High
156,College,Life Sciences,Female,Divorced,38,fb82ce53-169f-44e9-882c-4477121d84ab,2,0,5,11,3.0,Dakota del Sur,No,Travel_Rarely,Sales,2,Sales Executive,6893,No,15,3,Medium,High,Low,Very High
157,,Technical Degree,Male,Single,19,5c2b2669-a13c-46cd-81ba-40d91f28c27b,16,0,0,1,1.0,Noruega,Yes,Travel_Rarely,Human Resources,1,Human Resources,2564,No,12,3,Low,Medium,Very High,High
158,Bachelor,Life Sciences,Male,Married,50,56a718ba-27c6-4603-ae29-7024534c5447,3,0,5,22,3.0,España,No,Travel_Rarely,Research & Development,4,Manufacturing Director,13973,Yes,18,2,Very High,High,High,Very High
159,Below College,Technical Degree,Female,Divorced,34,6d3c3bbf-7657-4cc9-a563-f096960e3858,0,0,0,5,1.0,Luisiana,No,Non-Travel,Research & Development,1,Research Scientist,2029,No,20,2,Low,Medium,High,High
160,,Life Sciences,Male,Divorced,29,a0e0484e-8ae1-40b7-b528-9105cd1a9cfb,7,1,0,6,1.0,Portugal,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6623,Yes,11,2,High,High,Very High,Medium
161,Master,Marketing,Female,Married,31,122ca253-2efe-41b6-9544-74db7abe8d84,9,5,6,13,1.0,Ohio,No,Travel_Rarely,Sales,2,Sales Executive,5468,No,14,3,Low,Medium,Very High,Low
162,College,Other,Female,Married,22,7f4714b8-8648-4840-8da5-41f316fd89d5,12,0,1,4,1.0,Arizona,No,Non-Travel,Research & Development,1,Research Scientist,2814,Yes,14,2,Medium,Medium,High,Medium
163,,Life Sciences,Male,Married,43,8df9dd7b-8b33-4c18-9cad-931ab83ad53e,16,6,2,14,1.0,Dakota del Norte,No,Travel_Rarely,Research & Development,4,Research Director,17603,No,24,3,High,Medium,High,Low
164,Bachelor,Life Sciences,Male,Divorced,33,7ad672b0-1cd0-4e0b-a586-3c9c01a205f6,7,1,0,15,3.0,Florida,No,Travel_Frequently,Research & Development,2,Healthcare Representative,7725,No,23,2,High,High,Very High,High
165,,Medical,Male,Single,42,9be6d332-fa19-48e6-8f08-9b45db1917c3,20,0,2,8,5.0,Noruega,No,Travel_Frequently,Research & Development,1,Research Scientist,2515,Yes,14,2,Medium,High,Very High,Very High
166,,Technical Degree,Female,Single,51,524416ad-9b61-44d4-b4f2-57bb2028f082,14,0,0,29,3.0,Maryland,No,Travel_Rarely,Research & Development,4,Manufacturing Director,13142,No,16,1,Very High,Medium,Medium,Medium
167,Master,Medical,Male,Single,28,467f2d57-b50e-4281-ba20-85e383d5b1f9,6,0,2,5,0.0,Grecia,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2154,Yes,11,2,Very High,High,High,High
168,Master,Life Sciences,Female,Married,49,aa99754b-1e48-4928-a041-9fc73f10b2c5,21,1,2,10,1.0,Finlandia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3211,No,14,3,High,High,Low,Very High
169,,Life Sciences,Male,Married,31,7073300c-8fed-421b-86bb-daf061211b70,20,4,1,12,4.0,Wisconsin,Yes,Travel_Rarely,Sales,2,Sales Executive,6172,Yes,18,3,Medium,Low,High,Medium
170,Master,Other,Male,Single,33,becbadd9-e06e-44f4-88c2-5135f9993700,2,0,0,6,3.0,Italia,No,Travel_Rarely,Research & Development,1,Research Scientist,2799,Yes,11,1,High,Medium,Low,Medium
171,,Life Sciences,Male,Single,42,70e938ba-cf4a-4a33-865c-2a6d0bbd6e25,1,0,0,8,4.0,Misisipi,No,,Research & Development,1,Laboratory Technician,3968,No,13,3,Very High,High,High,Very High
172,Bachelor,Medical,Male,Married,31,39698538-496b-409f-ae5a-d0644798df77,4,5,7,10,0.0,Vermont,No,Travel_Rarely,Research & Development,2,Healthcare Representative,5582,No,21,2,Medium,Medium,Very High,Medium
173,College,Life Sciences,Male,Single,32,58fdb5cd-7a2b-4f6f-b73b-996a8535a807,6,0,0,10,,Kansas,Yes,Travel_Rarely,Sales,2,Sales Executive,6735,No,15,2,Low,Low,Medium,Medium
174,College,Life Sciences,Male,Married,52,ae0a38a9-6b86-4c78-b1ca-3c2641f0a2d7,16,6,1,26,2.0,New Hampshire,No,Travel_Rarely,Research & Development,4,Manager,17099,No,15,2,Very High,High,Very High,Medium
175,Master,Life Sciences,Male,Divorced,30,fbde895c-8da0-45f6-84c8-d7a32dbca831,14,4,6,10,1.0,Francia,No,Travel_Rarely,Research & Development,2,Laboratory Technician,3491,No,13,4,High,High,High,
176,Master,Medical,Male,Married,31,bf456bc8-2ed1-4f2f-82ce-30765a89dfb2,5,1,4,6,0.0,Michigan,No,Non-Travel,Research & Development,2,Manufacturing Director,4345,No,12,2,High,Low,High,Very High
177,,Marketing,Female,Married,35,8024b7b0-ae89-40d6-9a39-a14e2af9b15b,15,1,2,2,1.0,Alaska,No,Travel_Rarely,Sales,1,Sales Representative,2014,No,13,3,Very High,High,Very High,Low
178,Bachelor,Medical,Female,Single,54,f53a42bc-5847-4367-bbec-239dc8ce9e4e,21,1,2,9,6.0,Rhode Island,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4440,Yes,19,3,High,High,Low,Very High
179,Bachelor,Technical Degree,Male,Divorced,30,c1d5b4c2-5d63-4fe5-be63-a531b4453017,21,0,0,1,1.0,Noruega,No,Non-Travel,Research & Development,1,Research Scientist,1274,No,13,2,High,High,High,Medium
180,Master,Life Sciences,Male,Married,31,3f6b76b0-168a-49bb-8528-7ebcd8e824a5,8,0,1,6,1.0,Wyoming,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3477,No,14,2,Medium,High,High,Very High
181,,Life Sciences,Female,Single,38,9aab9feb-8fca-49cb-8daf-9b05240749cb,2,0,0,8,3.0,Pensilvania,No,Travel_Rarely,Research & Development,1,Research Scientist,2619,No,17,3,High,High,Low,Very High
182,College,Life Sciences,Male,Married,37,bcb60ec5-c063-48f6-b453-b6f21bf63885,13,0,0,8,4.0,Nueva Jersey,No,Travel_Rarely,Research & Development,1,Research Scientist,3022,No,21,1,Medium,High,Medium,Low
183,,Life Sciences,Female,Married,45,0fbcf32c-35a2-4627-a5bc-085f101506f5,2,1,0,26,3.0,Oklahoma,No,Travel_Rarely,Sales,4,Manager,17650,No,13,4,Very High,High,Very High,Medium
184,Master,Medical,Male,Divorced,60,eb704e0d-33ca-4f81-8936-3e7f548fe2ef,3,0,0,19,3.0,Nevada,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10883,No,20,2,High,Low,Very High,High
185,Bachelor,Life Sciences,Male,Single,51,b6f07407-14cf-47f6-93c8-e8a7207f128b,3,0,4,23,7.0,Alemania,No,Travel_Rarely,Research & Development,5,Research Director,19537,No,13,5,Low,High,High,High
186,Bachelor,Medical,Female,Single,18,cde06dea-d7cc-4d71-8032-aee8f868db6f,17,0,0,0,1.0,Maryland,No,,Research & Development,1,Research Scientist,1514,No,16,4,Medium,High,High,High
187,College,Life Sciences,Female,Single,46,10021931-a12f-47ae-92e9-631b3db3670b,14,3,4,10,6.0,Dakota del Sur,No,Travel_Rarely,Human Resources,1,Human Resources,3423,No,12,3,Very High,High,Low,High
188,College,Technical Degree,Female,Married,41,e08b9745-b206-4fc4-b6f9-59338e6f61ce,4,0,5,10,1.0,Georgia,No,Travel_Rarely,Research & Development,1,Research Scientist,3376,No,13,3,Medium,Very High,High,High
189,College,Technical Degree,Male,Divorced,24,d7495cf8-5d5b-49fc-bb21-07d672c6c6f9,16,0,0,2,0.0,Finlandia,No,,Research & Development,1,Laboratory Technician,2296,No,14,3,High,Medium,Low,Medium
190,Master,Medical,Male,Divorced,31,2ae422e6-6c76-480f-942f-694ae2ba9ceb,15,3,0,13,4.0,Países Bajos,No,Travel_Rarely,Sales,2,Sales Executive,5460,No,22,4,Low,Very High,Very High,Very High
191,Doctor,Life Sciences,Male,Married,34,0c9ad08e-d68e-4062-a5a3-1c96aa3a4975,3,1,8,10,1.0,Carolina del Sur,No,Travel_Rarely,Research & Development,1,Research Scientist,2691,No,12,4,Medium,High,,Very High
192,Master,Marketing,Male,Married,52,670d8ec9-561a-4075-9c9f-4361bb0eb68c,2,1,14,34,1.0,Arizona,No,Travel_Rarely,Sales,4,Manager,16856,No,11,3,High,Medium,Low,Low
193,Master,Human Resources,Male,Married,38,60f4d54f-4837-4458-b022-07005a7d8d5c,7,0,1,10,3.0,California,No,Travel_Frequently,Human Resources,2,Human Resources,6077,No,11,2,High,High,High,High
194,Bachelor,Marketing,Male,Divorced,48,7bd18d11-90e2-435e-9952-3fc5a582146a,6,2,1,15,4.0,Alemania,No,Travel_Rarely,Sales,2,Sales Executive,5486,No,11,3,High,High,Low,
195,College,Life Sciences,Male,Single,29,0cdc1cd8-411c-4228-b572-cbffeed5b11b,7,1,0,1,1.0,Francia,Yes,,Research & Development,1,Research Scientist,2439,Yes,24,3,Very High,Medium,Very High,Medium
196,College,Life Sciences,Male,Married,57,3367ed32-870d-4726-86bd-5b7a7753ca4d,3,0,4,13,0.0,Francia,No,Travel_Rarely,Research & Development,2,Research Scientist,4900,No,24,2,Medium,Very High,High,Low
197,Bachelor,Life Sciences,Male,Married,31,57bca61d-3485-4279-be01-15d398340d3f,16,0,0,12,3.0,Maine,Yes,Travel_Frequently,Research & Development,3,Healthcare Representative,9824,No,12,2,Low,High,High,Low
198,,Life Sciences,Female,Single,38,249b18ac-bb3f-4216-bfbb-3752d276e1ff,15,0,0,10,,Bélgica,No,Travel_Rarely,Research & Development,3,Manufacturing Director,7861,Yes,14,4,High,High,High,Very High
199,Bachelor,Technical Degree,Male,Married,45,20c25c03-bbd0-4423-a3ff-a5d6991f65a5,3,0,0,8,4.0,Kansas,No,Travel_Rarely,Research & Development,1,Research Scientist,2132,No,20,3,Very High,High,,Very High
200,Master,Life Sciences,Female,Divorced,42,b4ff0d03-6ed1-4f9a-9ca6-79fcb5f50e0b,14,1,1,8,3.0,Rumania,No,,Research & Development,1,Laboratory Technician,2576,No,16,5,Medium,High,Low,Medium
201,Bachelor,Medical,Female,Single,27,e69e0306-584d-4731-9884-5d90252e6c37,13,0,6,9,8.0,Colorado,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6811,No,19,2,Very High,Medium,Low,Low
202,Below College,Life Sciences,Male,Divorced,29,e29d8a02-54c5-4aee-b81e-e15dea2656a9,13,0,1,6,1.0,Alemania,No,Travel_Frequently,Research & Development,2,Healthcare Representative,8853,No,19,0,Low,High,,Very High
203,College,Medical,Male,Married,40,9e79863a-9351-44b8-9292-57b36bba502c,0,4,1,9,0.0,Florida,No,Travel_Rarely,Sales,2,Sales Executive,5473,No,12,5,Low,High,Low,Very High
204,,Medical,Female,Married,27,c1869e99-6bae-42a7-a6f9-9466aa94e241,9,0,1,5,7.0,Arkansas,No,Travel_Rarely,Research & Development,1,Research Scientist,3517,No,17,0,Medium,Very High,High,Low
205,Bachelor,Life Sciences,Female,Single,45,1fa1ae44-6b13-4901-9522-d896bc9d54ec,15,0,0,1,1.0,Suiza,No,Travel_Rarely,Research & Development,1,Research Scientist,2274,No,14,3,Medium,Medium,High,Very High
206,,Marketing,Female,Divorced,30,7b901be8-6e6c-4bbc-be9d-6507c6b33954,13,1,0,10,1.0,Croacia,No,Travel_Rarely,Sales,2,Sales Executive,6118,No,13,2,Very High,Medium,High,High
207,Below College,Marketing,Male,Married,27,e0de36c7-bc21-410f-b684-71d1b6a6762a,12,1,1,5,0.0,República Checa,No,Travel_Frequently,Sales,2,Sales Executive,4342,No,19,3,High,High,,Medium
208,Below College,Life Sciences,Male,Single,23,414463cc-9d8f-40c3-ba04-dd14980405f6,3,0,2,5,0.0,Wisconsin,No,Travel_Rarely,Research & Development,2,Laboratory Technician,2272,No,14,2,Low,High,High,Medium
209,Bachelor,Medical,Female,Single,30,2e26fd4a-0f9f-46d2-b65f-8707445409f2,16,1,1,4,0.0,Grecia,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,2422,No,17,3,Medium,High,Medium,Low
210,Bachelor,Life Sciences,Male,Married,28,f6b57356-a9ce-491b-b673-d7dbac36a46a,15,0,2,5,1.0,España,No,Travel_Rarely,Research & Development,1,Research Scientist,2044,No,11,6,High,High,Very High,High
211,,Medical,Male,Divorced,35,0567e022-fac3-4978-a05d-6e6ee3d8c255,7,0,7,15,2.0,Nuevo México,No,Non-Travel,Research & Development,2,Manufacturing Director,5762,No,14,6,Medium,High,Very High,High
212,,Medical,Male,Divorced,55,3611c8f9-bbe5-4f6e-8c45-8cff0142b093,9,0,0,31,2.0,Wyoming,No,Travel_Rarely,Research & Development,4,Research Director,14732,No,13,4,Medium,Very High,,Very High
213,Doctor,Medical,Male,Married,50,2fab3e73-b3cf-4f7f-9359-ed1e4893ca9b,8,7,0,32,2.0,Nevada,No,Travel_Frequently,Research & Development,4,Healthcare Representative,11245,Yes,15,3,Medium,High,High,High
214,Master,Life Sciences,Male,Divorced,49,7a1ff076-ccca-4fa8-bb11-3c09816fc999,21,0,4,31,1.0,Arizona,No,Travel_Rarely,Research & Development,5,Research Director,19502,Yes,17,5,Very High,Medium,,High
215,Bachelor,Human Resources,Male,Divorced,38,5a06a795-5e95-4eb8-8543-a4f16bd496c8,13,0,8,13,5.0,Nuevo México,No,Non-Travel,Human Resources,1,Human Resources,2592,No,13,3,Low,High,Medium,Very High
216,College,Life Sciences,Male,Married,36,8a658d64-d0ea-447a-a3fb-aa4403cc3c5f,6,0,10,18,1.0,Polonia,No,Travel_Rarely,Sales,2,Sales Executive,6201,Yes,14,1,Medium,High,Very High,Very High
217,Master,Life Sciences,Male,Single,36,4c2b5f23-2929-4026-b971-78dd1f29d29f,1,0,0,18,2.0,New Hampshire,No,,Research & Development,2,Manufacturing Director,7779,No,20,0,Low,High,Very High,Low
218,Master,Human Resources,Male,Married,55,1c742e11-40b5-4d3c-b3f5-70e7bc16a1d0,15,1,2,35,4.0,Austria,No,Travel_Rarely,Human Resources,5,Manager,19636,Yes,18,0,High,Very High,,Low
219,Bachelor,Medical,Female,Single,20,bcc9d812-2755-4b96-b13d-b42ef2d73070,3,0,1,2,1.0,Francia,Yes,Travel_Rarely,Sales,1,Sales Representative,2044,No,13,3,High,Medium,High,Very High
220,Bachelor,Marketing,Female,Divorced,41,d5f32b8f-c4a9-4678-9b8c-c6e6fe3f1ab0,17,1,5,10,0.0,Hungría,No,,Sales,2,Sales Executive,4103,No,17,2,High,High,Low,Very High
221,Below College,Life Sciences,Male,Married,27,0c2caef2-c472-4f01-b25f-9ca18ffaa6be,18,1,4,6,0.0,Croacia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2099,No,14,3,Medium,High,Low,Medium
222,Master,Life Sciences,Female,Divorced,47,d6382f71-1375-4268-ae47-c23811992db7,7,1,2,29,6.0,Delaware,No,Travel_Rarely,Sales,4,Manager,15972,No,14,2,Medium,Very High,Medium,High
223,Bachelor,Life Sciences,Male,Married,26,d943c222-7142-47f3-ae0c-38d7ee2786d6,3,5,0,8,1.0,Minnesota,No,Travel_Rarely,Sales,2,Sales Executive,5296,No,17,3,High,High,High,Medium
224,Master,Medical,Male,Married,35,2da8109e-58df-4164-a2cc-03af040b09dd,2,0,1,6,0.0,Alaska,No,Travel_Rarely,Sales,2,Sales Executive,5561,No,16,2,Medium,High,Low,Very High
225,College,Medical,Male,Married,26,2da747e8-131b-4acf-a819-3da6e8ccd6e7,16,1,2,8,1.0,Rumania,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5472,No,12,2,Very High,Very High,Very High,Medium
226,College,Medical,Male,Single,26,860d56a6-a1e5-4772-8f52-c4df39372723,11,1,2,7,8.0,Portugal,Yes,Non-Travel,Sales,2,Sales Executive,4969,No,18,6,Medium,Low,Low,Very High
227,,Medical,Female,Married,38,ea8dd0bd-7365-44f3-8c15-1203166acbc8,17,1,8,20,3.0,Noruega,No,Travel_Rarely,Research & Development,3,Research Director,13206,No,12,3,Medium,Low,High,Low
228,Bachelor,Life Sciences,Female,Single,27,ac9adad9-8c46-4e39-a4bd-4c833448dde4,10,0,1,4,1.0,Nevada,No,Travel_Rarely,Research & Development,1,Research Scientist,2478,Yes,12,2,High,High,Medium,Medium
229,College,Medical,Male,Single,37,b7bcd886-01d2-44d6-bae4-e9602a22ebd6,20,0,9,10,1.0,República Checa,No,Non-Travel,Sales,3,Sales Executive,7642,Yes,13,2,Low,High,Medium,Very High
230,Bachelor,Medical,Male,Single,47,5df769f3-af30-4cd7-85dd-f75aa1587932,6,5,5,25,2.0,República Checa,No,Travel_Rarely,Research & Development,3,Healthcare Representative,8633,No,23,3,Low,High,High,Medium
231,Bachelor,Technical Degree,Male,Married,36,0e4fadf9-c7de-4ca8-b1bf-facb3480636a,11,0,1,12,1.0,Virginia,No,Travel_Frequently,Research & Development,1,Research Scientist,3692,No,12,2,High,High,Medium,High
232,Bachelor,Life Sciences,Male,Married,37,0ccc382d-79bc-42cb-ab1f-b65a00089481,3,0,2,8,1.0,Dakota del Norte,No,Travel_Rarely,Research & Development,1,Research Scientist,3564,Yes,12,3,Medium,Very High,Low,Low
